Time,IgM,IgG1,IgG2,TH,TC,IFNg,IL2,IL12
0.0000,0.000000,0.000000,0.000000,0.714286,0.222222,0.000000,0.000000,0.000000
1.0000,3.347121,0.997006,0.000000,0.714286,0.222222,0.000000,0.000000,0.000000
2.0000,7.257158,2.237824,1.138318,1.011146,0.256193,1.518339,0.997060,16.647385
3.0000,13.014147,4.119849,4.628950,1.498992,0.333479,3.325205,1.865855,25.979682
4.0000,21.509107,6.951137,10.976377,2.188326,0.454463,5.450247,2.855822,31.049929
5.0000,34.026377,11.177675,21.384235,3.135583,0.634120,8.097922,4.097761,33.611328
6.0000,52.316748,17.414447,37.642309,4.405286,0.894470,11.452563,5.672872,34.664564
7.0000,78.622865,26.464102,62.134147,6.060563,1.262359,15.652098,7.621795,34.772821
8.0000,115.587295,39.301388,97.774699,8.148607,1.765718,20.741706,9.929109,34.242992
9.0000,165.954494,56.994161,147.766606,10.679211,2.426271,26.603942,12.494766,33.230561
10.0000,231.989291,80.532931,215.085097,13.598712,3.248099,32.880467,15.105872,31.802405
11.0000,314.621653,110.564868,301.676986,16.768015,4.204333,38.927344,17.431940,29.978772
12.0000,412.519509,147.085405,407.532144,19.960457,5.228682,43.870855,19.073545,27.767478
13.0000,521.522308,189.214279,530.007626,22.895102,6.221130,46.814961,19.678121,25.195734
14.0000,634.918600,235.208857,663.863358,25.304487,7.072096,47.157267,19.085322,22.335694
15.0000,744.701422,282.775925,802.193731,27.008198,7.695748,44.845050,17.412517,19.312511
16.0000,843.328688,329.565596,937.906978,27.952176,8.053494,40.393804,15.010477,16.286880
17.0000,925.188464,373.621081,1065.073882,28.196585,8.155452,34.657429,12.316452,13.419031
18.0000,987.237843,413.617823,1179.646081,27.870264,8.044443,28.515306,9.704636,10.833602
19.0000,1028.833814,448.876542,1279.497123,27.122544,7.775835,22.649999,7.409787,8.601646
20.0000,1051.114202,479.237101,1364.047005,26.091007,7.402848,17.472688,5.528279,6.742284
21.0000,1056.291225,504.890667,1433.763324,24.887286,6.969428,13.155289,4.059325,5.236253
22.0000,1047.064222,526.229979,1489.720058,23.594958,6.508594,9.704734,2.950930,4.042225
23.0000,1026.212697,543.739133,1533.280208,22.273161,6.043523,7.035660,2.133684,3.110275
24.0000,996.352133,557.922109,1565.901994,20.961855,5.589531,5.023942,1.539982,2.390786
25.0000,959.809607,569.261231,1589.042006,19.686814,5.156046,3.539617,1.112400,1.839239
26.0000,918.577426,578.195971,1604.121784,18.463702,4.748288,2.464019,0.805714,1.418108
27.0000,874.312927,585.114508,1612.522958,17.301174,4.368585,1.696776,0.585906,1.097037
28.0000,828.362919,590.352678,1615.578618,16.203167,4.017383,1.157094,0.428104,0.852138
29.0000,791.985689,597.187153,1633.339889,21.895158,6.094189,34.610910,22.069741,17.055333
30.0000,779.793591,610.234580,1672.045826,30.873617,9.630737,72.652217,38.781606,25.884416
31.0000,799.072675,632.244685,1737.803937,42.694980,14.807431,114.171879,54.784630,30.208503
32.0000,856.809290,666.054577,1838.953014,56.849259,21.675909,157.015168,69.728345,31.529153
33.0000,955.045975,713.203876,1980.058117,71.566945,29.505561,192.631506,79.805600,30.526257
34.0000,1084.745625,771.987496,2155.973281,83.869708,36.581990,207.977987,79.921092,27.515950
35.0000,1224.735118,836.857848,2350.019661,91.199551,41.111895,195.770425,68.760762,22.966231
36.0000,1350.844229,900.839984,2541.216345,93.225034,42.580481,162.738482,51.302559,17.766413
37.0000,1447.040151,958.788025,2714.043484,91.437946,41.740960,122.961719,34.232098,12.888171
38.0000,1508.151670,1008.412741,2861.522748,87.567049,39.621354,86.950710,21.143038,8.911541
39.0000,1536.189564,1049.453349,2982.729018,82.793959,36.954426,58.809102,12.428769,5.960033
40.0000,1536.244272,1082.625550,3079.628117,77.764879,34.145847,38.586989,7.093696,3.897940
41.0000,1514.067999,1108.971483,3155.120223,72.796333,31.394175,24.781222,3.986057,2.512153
42.0000,1475.007279,1129.554985,3212.125165,68.031585,28.788519,15.666397,2.227092,1.604029
43.0000,1423.642868,1145.342947,3253.242582,63.528051,26.363657,9.787990,1.246275,1.018618
44.0000,1363.739807,1157.171019,3280.697151,59.301740,24.127682,6.061649,0.702347,0.645224
45.0000,1298.316635,1165.743960,3296.431905,55.349348,22.075681,3.729849,0.400280,0.408619
46.0000,1229.750728,1171.648612,3302.270871,51.659184,20.196887,2.284593,0.231420,0.259232
47.0000,1159.886003,1175.370243,3300.061519,48.216437,18.478488,1.394956,0.136025,0.165034
48.0000,1090.130484,1177.308549,3291.695731,45.005594,16.907496,0.849942,0.081399,0.105601
49.0000,1021.540164,1177.791984,3278.977857,42.011477,15.471531,0.517132,0.049623,0.068019
50.0000,954.889190,1177.090081,3263.435037,39.219638,14.159088,0.314343,0.030821,0.044166
51.0000,890.727735,1175.423825,3246.204340,36.616484,12.959577,0.190955,0.019494,0.028948
52.0000,829.429268,1172.974301,3228.042647,34.189294,11.863296,0.115950,0.012547,0.019177
53.0000,771.228928,1169.889834,3209.412129,31.926185,10.861366,0.070386,0.008210,0.012854
54.0000,716.254530,1166.291885,3190.578400,29.816072,9.945669,0.042718,0.005455,0.008726
55.0000,664.551497,1162.279897,3171.688170,27.848614,9.108784,0.025923,0.003676,0.006003
56.0000,616.102850,1157.935267,3152.820496,26.014166,8.343929,0.015729,0.002510,0.004188
57.0000,574.060898,1154.268520,3142.615912,34.589453,12.877616,55.725439,34.523596,16.518746
58.0000,542.806034,1152.753286,3139.708900,48.390645,20.342888,119.913042,60.141192,25.389484
59.0000,524.279246,1154.231177,3145.804192,65.834861,30.793675,186.168627,82.578283,29.468792
60.0000,519.639728,1159.358972,3162.835813,85.005064,43.455314,245.504992,99.280746,30.169151
61.0000,527.328519,1168.014197,3190.424363,101.939071,55.621839,278.585045,103.178620,28.119044
62.0000,541.905369,1178.879322,3224.608080,112.496909,63.795015,269.782579,90.465348,23.883112
63.0000,556.155255,1189.969369,3259.419379,115.638376,66.594812,225.979748,67.270490,18.523780
64.0000,564.839715,1199.708664,3290.112571,113.429132,65.301593,169.617448,43.933418,13.313927
65.0000,566.005043,1207.375096,3314.495563,108.430926,61.838984,118.327193,26.255899,9.053396
66.0000,559.922092,1212.865956,3332.225886,102.326044,57.526629,78.777401,14.832559,5.930134
67.0000,547.794339,1216.365771,3343.811652,95.970473,53.044362,50.887548,8.098766,3.789779
68.0000,531.023915,1218.148900,3350.016000,89.749399,48.697848,32.215079,4.337941,2.383055
69.0000,510.907659,1218.492992,3351.594426,83.820602,44.611045,20.111967,2.302765,1.482696
70.0000,488.542754,1217.647923,3349.200948,78.238392,40.825005,12.434059,1.220504,0.916260
71.0000,464.817463,1215.827986,3343.370461,73.011412,37.343334,7.635527,0.649567,0.563913
72.0000,440.431904,1213.212902,3334.539341,68.129061,34.152949,4.667613,0.348724,0.346357
73.0000,415.926720,1209.951734,3323.089608,63.573430,31.234130,2.844934,0.189552,0.212652
74.0000,391.711356,1206.167401,3309.402143,59.324523,28.565495,1.730789,0.104634,0.130699
75.0000,368.089120,1201.960946,3293.892914,55.362395,26.126199,1.051764,0.058794,0.080519
76.0000,345.278439,1197.415272,3277.006402,51.667955,23.896735,0.638686,0.033684,0.049785
77.0000,323.430462,1192.598331,3259.169248,48.223214,21.859119,0.387676,0.019697,0.030932
78.0000,302.643463,1187.565774,3240.739121,45.011334,19.996865,0.235253,0.011760,0.019338
79.0000,282.974526,1182.363156,3221.980467,42.016587,18.294888,0.142735,0.007167,0.012181
80.0000,264.448981,1177.027755,3203.070263,39.224299,16.739396,0.086592,0.004456,0.007741
81.0000,247.067974,1171.590061,3184.118809,36.620785,15.317783,0.052529,0.002823,0.004970
82.0000,230.814525,1166.075006,3165.191688,34.193284,14.018526,0.031864,0.001821,0.003228
83.0000,215.658348,1160.502965,3146.326749,31.929897,12.831095,0.019328,0.001194,0.002124
84.0000,201.559668,1154.890587,3127.545420,29.819529,11.745864,0.011724,0.000795,0.001417
85.0000,188.472229,1149.251463,3108.859645,27.851835,10.754038,0.007111,0.000537,0.000960
86.0000,176.345644,1143.596687,3090.275955,26.017169,9.847577,0.004313,0.000367,0.000660
87.0000,165.127223,1137.935304,3071.797812,24.306537,9.019134,0.002616,0.000254,0.000461
88.0000,154.763371,1132.274681,3053.426925,22.711555,8.261995,0.001587,0.000178,0.000327
89.0000,145.200653,1126.620814,3035.164011,21.224404,7.570021,0.000962,0.000126,0.000236
